epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,742.703,1.05259,0.53527,0.95557,0.92657,0.88393,0.93008,0.68101,1.45361,0.97336,1.01381,0.000416476,0.000416476,0.000416476
2,1452.07,1.09169,0.56882,0.9708,0.89393,0.88699,0.90953,0.67478,1.45729,0.98346,1.01084,0.000754381,0.000754381,0.000754381
3,2139.12,1.08347,0.56655,0.9679,0.78954,0.79884,0.84568,0.61549,1.43921,0.88116,1.0126,0.000822329,0.000822329,0.000822329
4,2819.61,1.04914,0.53607,0.95725,0.8061,0.85886,0.87578,0.64724,1.4158,0.87494,1.00414,0.000440046,0.000440046,0.000440046
5,3499.99,1.01062,0.50879,0.945,0.9223,0.85289,0.92475,0.69107,1.41197,0.86308,1.0033,0.000130671,0.000130671,0.000130671
