epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2949.54,0.3246,0.21996,0.78246,0.88182,0.84614,0.88875,0.64357,1.48687,1.16161,1.09827,0.00112605,0.00112605,0.00112605
43,3023.19,0.31616,0.21479,0.78254,0.87716,0.89104,0.89393,0.65214,1.4654,1.23663,1.09463,0.00112016,0.00112016,0.00112016
44,3102.14,0.31791,0.21682,0.78267,0.8575,0.90272,0.89621,0.6552,1.45943,1.28026,1.09625,0.00111414,0.00111414,0.00111414
45,3175.02,0.30917,0.21121,0.78046,0.9029,0.88128,0.89732,0.65451,1.47783,1.24739,1.10307,0.00110801,0.00110801,0.00110801
46,3246.25,0.29729,0.20604,0.77943,0.89479,0.86523,0.89741,0.65544,1.46374,1.39986,1.09242,0.00110175,0.00110175,0.00110175
47,3316.7,0.30895,0.2099,0.77942,0.85693,0.88914,0.89728,0.64854,1.47832,1.28232,1.10327,0.00109538,0.00109538,0.00109538
48,3387.36,0.31012,0.20935,0.78055,0.89059,0.86338,0.89694,0.64664,1.47203,1.15189,1.10209,0.0010889,0.0010889,0.0010889
49,3457.73,0.30206,0.20687,0.77933,0.91882,0.82707,0.89068,0.64806,1.46913,1.16084,1.09587,0.0010823,0.0010823,0.0010823
50,3527.97,0.292,0.20202,0.77785,0.9134,0.87813,0.89725,0.65547,1.46481,1.25701,1.09294,0.00107559,0.00107559,0.00107559
51,3598.25,0.29582,0.20218,0.77911,0.88934,0.87473,0.89736,0.65282,1.47354,1.17273,1.10115,0.00106877,0.00106877,0.00106877
52,3668.5,0.29639,0.20189,0.77972,0.86395,0.88724,0.89074,0.64478,1.47828,1.20841,1.10549,0.00106185,0.00106185,0.00106185
53,3745.3,0.28494,0.19607,0.77715,0.89188,0.85592,0.89461,0.64917,1.46514,1.14036,1.09181,0.00105481,0.00105481,0.00105481
54,3825.78,0.27804,0.19249,0.77722,0.87451,0.86363,0.89796,0.65149,1.4571,1.11032,1.09788,0.00104768,0.00104768,0.00104768
55,3906.46,0.28211,0.19512,0.77909,0.90149,0.83563,0.89177,0.63834,1.47222,1.15595,1.10246,0.00104044,0.00104044,0.00104044
56,3986.51,0.28502,0.19793,0.77772,0.86231,0.88225,0.89523,0.64266,1.47772,1.14403,1.10311,0.0010331,0.0010331,0.0010331
57,4066.03,0.28139,0.19515,0.77709,0.88646,0.85669,0.89388,0.64657,1.47463,1.14955,1.10018,0.00102566,0.00102566,0.00102566
58,4144.79,0.27975,0.19229,0.77799,0.88213,0.87283,0.88872,0.63731,1.48303,1.13444,1.11158,0.00101812,0.00101812,0.00101812
59,4215.02,0.27391,0.18917,0.77667,0.90873,0.8663,0.89553,0.6454,1.47638,1.11581,1.1014,0.00101049,0.00101049,0.00101049
60,4285.61,0.2663,0.18513,0.7756,0.89714,0.85633,0.88824,0.6509,1.48082,1.23897,1.11147,0.00100276,0.00100276,0.00100276
61,4354.88,0.25983,0.18248,0.7753,0.88908,0.88913,0.89518,0.64754,1.46771,1.16285,1.1002,0.000994942,0.000994942,0.000994942
