epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,772.09,0.98163,0.54035,0.96113,0.86306,0.87852,0.92188,0.68508,1.45042,0.92717,1.01529,0.000416476,0.000416476,0.000416476
2,1520.47,1.03353,0.57425,0.98145,0.8309,0.79902,0.86663,0.62303,1.44571,1.08789,1.01329,0.000830884,0.000830884,0.000830884
3,2268.07,1.06229,0.60384,0.99351,0.86575,0.79039,0.895,0.63421,1.47587,0.9089,1.02491,0.00123629,0.00123629,0.00123629
4,3018.24,1.07411,0.61503,0.99911,0.86733,0.72823,0.77485,0.49,1.47628,0.92534,1.02778,0.00121972,0.00121972,0.00121972
5,3896.58,1.06565,0.60586,0.99459,0.82123,0.80665,0.82926,0.60363,1.45844,0.89202,1.0273,0.00119651,0.00119651,0.00119651
6,4652.32,1.05763,0.59177,0.99181,0.82895,0.80575,0.84138,0.58339,1.48935,0.9404,1.03262,0.0011671,0.0011671,0.0011671
7,5409.1,1.06001,0.59366,0.99104,0.88524,0.87007,0.90977,0.67189,1.49587,0.91164,1.03209,0.00113183,0.00113183,0.00113183
8,6164.98,1.03733,0.57197,0.98116,0.79807,0.82552,0.83039,0.57397,1.48848,0.93826,1.02768,0.00109107,0.00109107,0.00109107
9,6918.06,1.02977,0.56622,0.98008,0.83762,0.77164,0.92087,0.68051,1.47962,0.90001,1.02652,0.00104527,0.00104527,0.00104527
10,7669.22,1.02479,0.559,0.97905,0.92794,0.83967,0.90464,0.65477,1.47305,0.89267,1.02312,0.000994942,0.000994942,0.000994942
11,8420.04,1.0119,0.54884,0.97486,0.91517,0.82325,0.9155,0.66441,1.48148,0.93685,1.02857,0.000940625,0.000940625,0.000940625
