epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,725.639,1.05474,0.53591,0.95568,0.88449,0.80085,0.89929,0.65539,1.44932,0.91935,1.01094,0.000416476,0.000416476,0.000416476
2,1406.34,1.09947,0.57204,0.9733,0.8558,0.87298,0.91763,0.6693,1.45721,0.92518,1.01654,0.000830884,0.000830884,0.000830884
3,2080.08,1.12591,0.60446,0.98237,0.85945,0.89878,0.91366,0.66306,1.43675,1.0714,1.00313,0.00123629,0.00123629,0.00123629
4,2756.36,1.13767,0.61234,0.98682,0.9131,0.84217,0.90977,0.6601,1.43976,1.13113,1.00977,0.00121972,0.00121972,0.00121972
5,3430.59,1.13573,0.60745,0.98747,0.90338,0.85172,0.91078,0.65814,1.43183,0.85894,1.00614,0.00119651,0.00119651,0.00119651
6,4105.81,1.12373,0.59772,0.98493,0.87517,0.87613,0.9032,0.66216,1.41883,0.97394,1.00403,0.0011671,0.0011671,0.0011671
7,4780.98,1.11782,0.59606,0.98076,0.84132,0.87773,0.89978,0.65389,1.46121,0.87768,1.01515,0.00113183,0.00113183,0.00113183
8,5453.65,1.11006,0.58341,0.97478,0.83812,0.84265,0.87164,0.63252,1.45646,1.04016,1.01403,0.00109107,0.00109107,0.00109107
9,6130.3,1.09844,0.57509,0.9747,0.91273,0.82603,0.89842,0.62239,1.42822,1.10814,1.01364,0.00104527,0.00104527,0.00104527
10,6805.74,1.09065,0.57099,0.96818,0.92016,0.8678,0.9366,0.69193,1.40547,0.89148,1.00103,0.000994942,0.000994942,0.000994942
11,7479.94,1.08241,0.56135,0.96713,0.88209,0.80378,0.8884,0.64917,1.44199,0.94032,1.01608,0.000940625,0.000940625,0.000940625
12,8151.56,1.07362,0.55484,0.96599,0.92235,0.81798,0.91335,0.6803,1.42672,1.0318,1.00681,0.000882918,0.000882918,0.000882918
13,8825.11,1.06213,0.54645,0.95996,0.89703,0.79253,0.91477,0.67687,1.45918,0.99522,1.01953,0.000822454,0.000822454,0.000822454
14,9498.72,1.04901,0.53627,0.95594,0.89475,0.7617,0.87816,0.6386,1.41549,0.87942,1.00272,0.000759895,0.000759895,0.000759895
15,10175,1.03505,0.52726,0.95152,0.91932,0.87071,0.92106,0.68069,1.43604,0.96943,1.00427,0.000695927,0.000695927,0.000695927
16,10853.2,1.03614,0.52248,0.94965,0.92419,0.90921,0.93989,0.6948,1.40199,0.87389,1.00224,0.00063125,0.00063125,0.00063125
17,11530.8,1.02157,0.51332,0.94738,0.92344,0.89436,0.93977,0.69685,1.4066,0.8982,1.00163,0.000566573,0.000566573,0.000566573
18,12207.7,1.01179,0.50613,0.94174,0.91582,0.88941,0.93393,0.69606,1.42508,0.94074,1.00231,0.000502605,0.000502605,0.000502605
19,12880.6,1.00212,0.49835,0.93922,0.91433,0.89244,0.93966,0.70225,1.41855,0.94376,1.00454,0.000440046,0.000440046,0.000440046
20,13554.8,0.98927,0.49155,0.93705,0.91732,0.88967,0.93624,0.69631,1.42279,0.92351,1.0104,0.000379582,0.000379582,0.000379582
21,14237.5,0.97924,0.48648,0.93146,0.88907,0.87677,0.9255,0.69047,1.41207,0.91729,1.00342,0.000321875,0.000321875,0.000321875
