epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,526.802,0.95857,0.49235,0.96821,0.93041,0.86906,0.93496,0.70277,1.41783,0.8739,0.99721,0.000416303,0.000416303,0.000416303
2,1019.29,0.99618,0.5181,0.98168,0.89759,0.85563,0.91528,0.67006,1.4478,1.20713,1.01765,0.000830711,0.000830711,0.000830711
3,1512.41,1.02469,0.54706,0.99557,0.8377,0.8573,0.8926,0.6632,1.48822,1.0449,1.03731,0.00123612,0.00123612,0.00123612
4,1988.76,1.03813,0.55874,0.99937,0.86403,0.87767,0.89423,0.65659,1.48499,0.94602,1.02998,0.00121972,0.00121972,0.00121972
5,2461.17,1.02766,0.55092,0.99732,0.88299,0.74293,0.77927,0.55719,1.47625,1.50416,1.02856,0.00119651,0.00119651,0.00119651
6,2950.28,1.01524,0.54462,0.99285,0.79721,0.86309,0.8636,0.6154,1.4751,1.73095,1.02525,0.0011671,0.0011671,0.0011671
7,3439.53,1.01601,0.54421,0.99248,0.77139,0.84928,0.8297,0.60313,1.46249,1.4264,1.01485,0.00113183,0.00113183,0.00113183
8,3906.2,1.00169,0.5304,0.98739,0.86877,0.84541,0.90638,0.65939,1.49071,1.2554,1.02628,0.00109107,0.00109107,0.00109107
9,4371.27,0.99579,0.52325,0.98402,0.86592,0.87939,0.91789,0.67395,1.45233,1.49285,1.01765,0.00104527,0.00104527,0.00104527
10,4836.38,0.99002,0.51542,0.98215,0.79445,0.72836,0.81776,0.57221,1.53921,1.11248,1.04549,0.000994942,0.000994942,0.000994942
11,5303.16,0.97763,0.50741,0.9742,0.85927,0.87184,0.90774,0.66492,1.429,1.0073,1.00613,0.000940625,0.000940625,0.000940625
