epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,486.163,0.97084,0.50057,0.97222,0.89699,0.86632,0.91852,0.67989,1.44341,0.93621,1.00635,0.000624454,0.000624454,0.000624454
2,930.64,1.01474,0.53963,0.98845,0.86622,0.86634,0.90801,0.66244,1.46195,2.33997,1.02307,0.00124607,0.00124607,0.00124607
3,1384.42,1.04232,0.56456,1.00133,0.89927,0.87956,0.91168,0.66206,1.47107,1.08051,1.02606,0.00123648,0.00123648,0.00123648
4,1846.22,1.03946,0.55586,0.99869,0.82717,0.88565,0.91672,0.65413,1.49891,1.13267,1.02933,0.00121972,0.00121972,0.00121972
5,2324.01,1.02803,0.54962,0.99662,0.9,0.78012,0.92374,0.6775,1.47567,1.21438,1.01519,0.00119651,0.00119651,0.00119651
6,2811.46,1.01597,0.54313,0.99166,0.8672,0.85911,0.91321,0.66555,1.51523,1.74378,1.03745,0.0011671,0.0011671,0.0011671
7,3276.25,1.0123,0.54259,0.99127,0.87013,0.88186,0.91448,0.66565,1.47353,1.37702,1.02267,0.00113183,0.00113183,0.00113183
8,3736.98,1.00208,0.52747,0.98641,0.86014,0.88788,0.91325,0.66614,1.49931,1.20666,1.03321,0.00109107,0.00109107,0.00109107
9,4179.31,0.99763,0.52503,0.98434,0.81401,0.88329,0.90519,0.63754,1.44445,1.08795,1.01332,0.00104527,0.00104527,0.00104527
10,4621.17,0.9852,0.51588,0.97963,0.89314,0.80018,0.87741,0.64176,1.57338,1.19032,1.06564,0.000994942,0.000994942,0.000994942
11,5065.26,0.97739,0.50709,0.97301,0.88327,0.88173,0.90916,0.66565,1.44327,1.00489,1.01023,0.000940625,0.000940625,0.000940625
