epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,737.788,1.96839,1.92807,1.68034,0.76909,0.25148,0.3128,0.15243,1.79111,5.60643,1.25142,0.0125,0.0125,0.0125
2,1468.25,1.72582,1.48677,1.51115,0.38381,0.38859,0.46807,0.20405,1.82705,3.5896,1.27082,0.0124661,0.0124661,0.0124661
3,2199.22,1.63891,1.33434,1.45162,0.72802,0.5068,0.55193,0.26943,1.68946,3.44546,1.19864,0.0123648,0.0123648,0.0123648
4,2931.04,1.59662,1.2525,1.41516,0.48909,0.53569,0.53385,0.27207,1.72639,2.58195,1.21826,0.0121972,0.0121972,0.0121972
5,3661.93,1.55279,1.18705,1.39153,0.59988,0.52406,0.58477,0.31499,1.69021,2.74373,1.212,0.0119651,0.0119651,0.0119651
6,4393.17,1.53074,1.15043,1.38059,0.54653,0.46518,0.6063,0.4153,1.61362,2.47299,1.16039,0.011671,0.011671,0.011671
7,5125.03,1.50679,1.11462,1.35597,0.69583,0.4641,0.56553,0.35199,1.77438,1.91689,1.22792,0.0113183,0.0113183,0.0113183
8,5857.61,1.48138,1.07608,1.34312,0.87811,0.57407,0.66096,0.45013,1.6341,2.29422,1.16951,0.0109107,0.0109107,0.0109107
9,6589.36,1.46042,1.04568,1.32762,0.53734,0.5986,0.63543,0.40071,1.59582,1.7913,1.15953,0.0104527,0.0104527,0.0104527
10,7322.31,1.44314,1.01383,1.32119,0.54518,0.63842,0.66174,0.40092,1.64427,1.5479,1.18305,0.00994942,0.00994942,0.00994942
11,8055.41,1.42567,0.98245,1.30805,0.88752,0.58743,0.6649,0.4391,1.60744,1.71248,1.15815,0.00940625,0.00940625,0.00940625
12,8789.67,1.41905,0.97348,1.29834,0.70546,0.7577,0.68662,0.42781,1.59482,1.74524,1.15703,0.00882918,0.00882918,0.00882918
13,9524.11,1.39571,0.94529,1.2898,0.63705,0.58585,0.68119,0.42547,1.60244,1.50858,1.16298,0.00822454,0.00822454,0.00822454
14,10258.3,1.39114,0.93386,1.28502,0.55961,0.63105,0.65997,0.43491,1.66331,2.00379,1.19047,0.00759895,0.00759895,0.00759895
15,10996.5,1.37262,0.90672,1.2714,0.60352,0.68385,0.70372,0.46918,1.55226,1.66847,1.13671,0.00695927,0.00695927,0.00695927
16,11733.2,1.36151,0.89109,1.26717,0.89531,0.60111,0.68522,0.46036,1.57375,1.51292,1.14717,0.0063125,0.0063125,0.0063125
17,12471.5,1.35655,0.87595,1.25855,0.90031,0.60316,0.68662,0.47217,1.56373,1.5271,1.14467,0.00566573,0.00566573,0.00566573
18,13209.6,1.33595,0.86216,1.25546,0.704,0.63878,0.70592,0.48063,1.61918,1.59467,1.15815,0.00502605,0.00502605,0.00502605
19,13945.5,1.33088,0.85196,1.25008,0.69927,0.64471,0.7054,0.48222,1.62453,1.58807,1.16263,0.00440046,0.00440046,0.00440046
20,14683.4,1.31435,0.8293,1.23584,0.64154,0.69421,0.70347,0.4863,1.54826,1.7872,1.1337,0.00379582,0.00379582,0.00379582
21,15419.9,1.29971,0.81906,1.22953,0.86146,0.68708,0.75278,0.53458,1.54219,1.72512,1.1306,0.00321875,0.00321875,0.00321875
22,16159,1.2932,0.80819,1.22675,0.8897,0.77577,0.79592,0.56585,1.55886,1.76131,1.13888,0.00267558,0.00267558,0.00267558
23,16868.9,1.27048,0.76489,1.2196,0.86357,0.66474,0.75212,0.5327,1.54856,1.60445,1.13776,0.00217225,0.00217225,0.00217225
24,17579.2,1.25694,0.75481,1.21057,0.66498,0.66682,0.71791,0.49983,1.5315,1.62918,1.1284,0.00171429,0.00171429,0.00171429
25,18290.8,1.25122,0.74387,1.20455,0.71554,0.67143,0.71672,0.49767,1.53732,1.53011,1.13036,0.00130671,0.00130671,0.00130671
26,19003.7,1.24307,0.73636,1.20176,0.66475,0.77546,0.74385,0.52086,1.53701,1.54835,1.13088,0.000953968,0.000953968,0.000953968
27,19719.1,1.2403,0.72993,1.19742,0.8828,0.65137,0.74501,0.52152,1.52933,1.56125,1.12714,0.000659937,0.000659937,0.000659937
28,20432.5,1.22982,0.72416,1.19441,0.88059,0.65642,0.75071,0.524,1.53089,1.4683,1.12858,0.000427838,0.000427838,0.000427838
29,21145.7,1.23447,0.72367,1.19467,0.88792,0.65541,0.74897,0.52181,1.52477,1.43541,1.12573,0.000260212,0.000260212,0.000260212
30,21856.8,1.22844,0.7188,1.19143,0.85599,0.6657,0.74513,0.51525,1.53061,1.45398,1.1284,0.000158896,0.000158896,0.000158896
