epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,511.246,1.01704,0.52147,0.96632,0.90838,0.82576,0.92235,0.68362,1.42614,0.9299,0.99684,0.000416365,0.000416365,0.000416365
2,1009.67,1.05417,0.55275,0.97949,0.84123,0.7966,0.84692,0.61876,1.45029,0.87641,1.00142,0.000830773,0.000830773,0.000830773
3,1505.67,1.07799,0.57852,0.99193,0.87969,0.73183,0.80943,0.58646,1.46222,0.99707,1.00723,0.00123618,0.00123618,0.00123618
4,2002.17,1.08542,0.58567,0.99158,0.82912,0.56666,0.69538,0.49671,1.47656,1.11624,1.01372,0.00121972,0.00121972,0.00121972
5,2498.96,1.07827,0.57984,0.99216,0.91418,0.36639,0.52086,0.3197,1.47705,1.12895,1.01688,0.00119651,0.00119651,0.00119651
6,2993.71,1.06942,0.57745,0.98987,0.90034,0.3628,0.56125,0.37495,1.47683,1.07629,1.02121,0.0011671,0.0011671,0.0011671
7,3487.4,1.06376,0.56866,0.98467,0.91658,0.36297,0.62287,0.43135,1.46816,1.06048,1.00876,0.00113183,0.00113183,0.00113183
8,3976.64,1.0653,0.56582,0.98336,0.92502,0.37595,0.55813,0.36344,1.44485,0.95793,1.00882,0.00109107,0.00109107,0.00109107
9,4466.09,1.04325,0.55231,0.97826,0.91208,0.33968,0.43268,0.26848,1.51514,1.13235,1.02777,0.00104527,0.00104527,0.00104527
10,4955.99,1.03173,0.54048,0.97105,0.80192,0.43025,0.56002,0.37339,1.54463,1.19995,1.04622,0.000994942,0.000994942,0.000994942
11,5443.88,1.02647,0.53795,0.97056,0.41765,0.33245,0.37066,0.21716,1.51991,1.23552,1.03577,0.000940625,0.000940625,0.000940625
